Number of Sets,Time (microseconds)
100,12.08
1000,115.75
10000,1033.51
20000,2366.68
30000,2714.2
40000,4023.52
50000,5032.54
60000,5736.18
70000,6352.48
80000,7365.71
90000,8514.73
100000,12007.3
